1	1
2	2
3	1
4	2
5	2
6	1
7	2
8	1
9	2
10	1
11	1
12	2
13	2
14	1
15	1
16	2
17	2
18	1
19	1
20	1
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	1
30	2
31	2
32	2
33	1
34	2
35	2
36	2
37	2
38	2
39	1
40	2
41	2
42	1
43	2
44	1
45	2
46	1
47	1
48	1
49	1
50	2
51	1
52	1
53	2
54	2
55	1
56	1
57	1
58	2
59	1
60	1
61	2
62	2
63	2
64	1
65	1
66	2
67	2
68	2
69	1
70	1
71	2
72	1
73	1
74	2
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	2
83	2
84	2
85	1
86	2
87	1
88	1
89	1
90	2
91	1
92	1
93	2
94	1
95	1
96	2
97	1
98	2
99	1
100	1
101	2
102	1
103	1
104	1
105	1
106	1
107	2
108	1
109	1
110	2
111	2
112	2
